qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_30_709623997,"a. All adults lose bone as they grow older, beginning between the ages of 30 and 40. b. Low calcium intakes during the growing years limits the bones' ability to attain peak bone mass. c.",1,1,position diff: 0,both,1
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_64_431617227,"Humans typically build up bone mass until their 20’s or 30’s. At that point, both men and women begin to lose bone density as a normal part of aging. Weight-bearing exercise, proper calcium and vitamin D intake, and a healthy diet all help to minimize the normal bone density loss.",2,2,position diff: 0,both,2
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_632929045,"Teens or young women, because as much as 90% of adult bone mass is achieved by age 18. Peak bone mass usually occurs in the late 20s. Women older than 30, because they typically lose bone mass and strength. Menopausal and postmenopausal women, because bone loss tends to accelerate as the body produces less estrogen.",3,3,position diff: 0,both,3
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_623131157,"1. Losing bone density is a normal part of aging. We reach peak bone mass between ages 25 and 30, and then slowly lose begin to start losing bone mass at age 40. For women, reduced levels of estrogen after menopause accelerate bone density loss.",4,4,position diff: 0,both,4
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_10_673115327,"by all means, take a supplement. For women, adult bone mass peaks at about age 30. With aging, bone lossgradually happens and then becomes increased after menopause. So it is important for young women to build good bone mass and for older women to do what they can to maintain it. How to Get Enough Calcium.",5,6,position diff: -1,biased,5
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_26_846132892,"If you don’t consume enough calcium and engage in physical activity as a child, you may not gain peak bone mass upon reaching adulthood. Women typically lose a large degree of bone mass after menopause while men begin losing bone mass after age 65, according to the ""Encyclopedia of Sports Medicine and Science."".",6,5,position diff: 1,unbiased,6
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_13_136821179,"31
Osteoporosis. Shutterstock. After the age of 20, the body begins losing bone mass. Unfortunately, if you lose too much of this mass, you can develop osteoporosis, a condition that causes brittle and weak bones and can significantly contribute to your risk of falls and fractures.",7,18,position diff: -11,biased,7
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_39_461879190,"Apparently, many of these drugs solve one problem only to create ten more. This brings to mind a concern for those who are taking drugs for osteoporosis. As we age, so does the structure of our bones. After the age of 40, adults begin to lose bone as the body’s ability to build up bone tissues decreases. Adults who have the most risk for bone loss include:",9,7,position diff: 2,unbiased,8
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_40_137452930,"Bone mass reaches its peak during young adulthood. Then, after a period of stability, there is a slow but steady loss of bone beginning about age 40. In women, normal aging and menopause significantly increase susceptibility to osteoporosis.",8,9,position diff: -1,biased,9
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_02_500358436,"the tenant was genuinely hurt. For example, if a tenant falls and breaks his ankle on a broken front door step, the landlord will be liable if the tenant can show that: it was the landlord's responsibility to maintain the steps (this would usually be the case, because the steps are part of the common area, which is the landlord's responsibility)",1,1,position diff: 0,both,1
