qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn,semantic_sim,label
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_30_709623997,"a. All adults lose bone as they grow older, beginning between the ages of 30 and 40. b. Low calcium intakes during the growing years limits the bones' ability to attain peak bone mass. c.",1,1.0,top from biased,biased,1,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_64_431617227,"Humans typically build up bone mass until their 20’s or 30’s. At that point, both men and women begin to lose bone density as a normal part of aging. Weight-bearing exercise, proper calcium and vitamin D intake, and a healthy diet all help to minimize the normal bone density loss.",2,2.0,top from biased,biased,2,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_632929045,"Teens or young women, because as much as 90% of adult bone mass is achieved by age 18. Peak bone mass usually occurs in the late 20s. Women older than 30, because they typically lose bone mass and strength. Menopausal and postmenopausal women, because bone loss tends to accelerate as the body produces less estrogen.",3,3.0,top from biased,biased,3,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_45_623131157,"1. Losing bone density is a normal part of aging. We reach peak bone mass between ages 25 and 30, and then slowly lose begin to start losing bone mass at age 40. For women, reduced levels of estrogen after menopause accelerate bone density loss.",4,4.0,top from biased,biased,4,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_55_738286358,Natural processes break down bones and build them up at a microscopic level. This natural process is influenced by age – children and young adults build more bone than they break down. Bone mass peaks around age 30 and then declines – women tend to lose bone most rapidly during menopause.,8,5.0,top from debiased,debiased,5,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_26_846132892,"If you don’t consume enough calcium and engage in physical activity as a child, you may not gain peak bone mass upon reaching adulthood. Women typically lose a large degree of bone mass after menopause while men begin losing bone mass after age 65, according to the ""Encyclopedia of Sports Medicine and Science."".",5,6.0,top from debiased,debiased,6,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_40_137452930,"Bone mass reaches its peak during young adulthood. Then, after a period of stability, there is a slow but steady loss of bone beginning about age 40. In women, normal aging and menopause significantly increase susceptibility to osteoporosis.",9,7.0,top from debiased,debiased,7,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_39_461879190,"Apparently, many of these drugs solve one problem only to create ten more. This brings to mind a concern for those who are taking drugs for osteoporosis. As we age, so does the structure of our bones. After the age of 40, adults begin to lose bone as the body’s ability to build up bone tissues decreases. Adults who have the most risk for bone loss include:",7,8.0,top from debiased,debiased,8,,
2082,at about what age do adults normally begin to lose bone mass,msmarco_passage_08_423967280,Lessons of Losing Virginity at Age 16. What will you learn from losing virginity? Age 16 is the typical age at which people begin thinking about or doing it. But you might be surprised by what you will learn when you do.,69,,easy negative,debiased,9,0.39297556281089785,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_02_500358436,"the tenant was genuinely hurt. For example, if a tenant falls and breaks his ankle on a broken front door step, the landlord will be liable if the tenant can show that: it was the landlord's responsibility to maintain the steps (this would usually be the case, because the steps are part of the common area, which is the landlord's responsibility)",1,1.0,top from biased,biased,1,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_37_406984666,"A Landlord Might Be Liable for Criminal Acts. Landlords generally aren’t responsible for injuries to tenants caused by third parties. However, when a landlord has notice of criminal activity and doesn’t take reasonable measures to prevent harm to tenants, a court might find the landlord liable when a tenant is injured.",2,3.0,top from biased,biased,2,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_03_865272429,"Do Not Sell My Personal Information. Landlords are not automatically liable for all injuries tenants suffer at their rentals. In general, landlords are responsible for tenants’ injuries only when the landlord’s action (or inaction) was careless and caused or contributed to the injury. (Sometimes landlords are also liable for injuries to guests or other people visiting the rental.)",3,2.0,top from biased,biased,3,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_26_607486542,"Who Is Liable for Injuries? Tenants and guests may have grounds to sue a landlord if they are injured at a rental property. Typically, a landlord has a duty to disclose a hidden danger, like an uneven floor. Sometimes a tenant is liable when a landlord is not.",4,4.0,top from biased,biased,4,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_42_184648743,"Your tenants may cause careless or even malicious damage. You could be liable if a tenant is hurt while in your property. Regular home insurance isn’t designed for the specific issues that landlords might face. Your policy might not cover any claims you need to make, or claims made against you by tenants.",5,5.0,top from debiased,debiased,5,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_02_500355930,Advertisement. Is a landlord liable if a tenant or visitor is injured on the rental property? A landlord may be liable to the tenant--or others-for injuries caused by dangerous or defective conditions on the rental property.,7,6.0,top from debiased,debiased,6,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_11_422302183,"Examples of Damage by a Tenant That Is Not Normal Wear and Tear. Damages by a tenant can be anything that harms the landlord’s property. If the tenant’s grandchildren knock a hole in the clubhouse wall, or break a window, then the tenant is liable for the repair. If the tenant fails to repair the damage, then the landlord may be able to do so on its own using the tenant’s security deposit.",6,7.0,top from debiased,debiased,7,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_26_586658040,"It might state that the landlord in a hold harmless agreement doesn’t have to foot the bill for repairs should the tenant damage the property – the tenant would have to pay for repairs – or that the landlord is not liable for any injuries to others or damages that might occur due to actions the tenant took. A commercial lease might provide that the landlord won’t be held liable if a customer is injured in a leased storefront due to actions taken by, or negligence on the part of, the tenant.",12,8.0,top from debiased,debiased,8,,
23287,are landlords liable if someone breaks in a hurts tenant,msmarco_passage_45_658324881,"Break clause – tenants give 2 months notice to landlord to use the break clause; can only be used by landlord if tenant consents. Tenants ending a lease – with consent from the landlord, the tenant either passes the lease to someone else or subletting another party but remaining responsible for the lease or rent.",84,,easy negative,debiased,9,0.45174508094787597,
30611,average age of men at marriage,msmarco_passage_11_59934478,"The average age for men at marriage has risen by two years since 1980, with women seeing an increase of three years. Currently the average age at marriage in the US is 26.8 years for men, and 25.1 years for women. It is interesting that though this represents an increased age for men, it is not significantly higher than the rate 100 years ago.",1,1.0,top from biased,biased,1,,
30611,average age of men at marriage,msmarco_passage_01_436571677,"In 1890, the average age at marriage had been 26.1 for men, 22 for women; by 1951 men were marrying at an average age of 22.6, women at 20.4.”. Couples often married before finishing college. As we’ll soon discuss, practices such as pinning signified a commitment to get married.",2,2.0,top from biased,biased,2,,
30611,average age of men at marriage,msmarco_passage_11_59936302,"Seconds. In many Western countries, people tend to marry in their 20s. The average age of marriage has increased over time. The average age for men at marriage has risen by two years since 1980, with women seeing an increase of three years. Jane Austen, writing in the early 19th century, had heroines married at the earliest age of 17 or 18.",3,5.0,top from biased,biased,3,,
30611,average age of men at marriage,msmarco_passage_02_448906411,"Taking the 83 marriages of the 72 men, the average age is 31.5 and the median 27.8, making the average age gap 6.5 and the median 4.2 (counting first marriages for the men only, the average age is 28.3 and the median 26.3; the average age gap is 4.7 and the median 3.7). The youngest of the men at marriage - and the only teenager - was Andrew Johnson, 18 and 4 months when he married 16-year-old Eliza McCardle in 1827.",4,26.0,top from biased,biased,4,,
30611,average age of men at marriage,msmarco_passage_57_689908011,"Within the Lifestyle Poll sample, the average age at marriage was also significantly higher than the average age of marriage for the population at large. Specifically, the average age at marriage for women in the Lifestyle Poll sample was 27.17 and the average age for their husbands was 28.94. The average age of marriage across the United States for the same time period was 23.6 for women and 25.8 for men*, so the men and women in this sample were 3 to 3.5 years older on average at the time of marriage.",9,3.0,top from debiased,debiased,5,,
30611,average age of men at marriage,msmarco_passage_58_752701097,"Average marriage age, stateside. The United States is following similar marriage trends. A Pew Research Center study found that today, the average marriage age for women is 27, and 29 for men.",7,4.0,top from debiased,debiased,6,,
30611,average age of men at marriage,msmarco_passage_07_94355630,"For men, the average age at first marriage is 28.7, while the average woman is getting married for the first time at age 26.5. In 2007, the average age at first marriage was 27.5 years for men and 25.6 years for women, according to the report.",6,6.0,top from debiased,debiased,7,,
30611,average age of men at marriage,msmarco_passage_11_308282957,"The average marriage age in the US is 30 (for men) and 28 (for women). However, this does not mean that Americans are committed to the single lifestyle. In 2018, more couples under the age of 25 lived with their partner (9% compared to just 5% 20 years ago), statistics on divorce, marriage, and cohabitation reveal. 16.",8,7.0,top from debiased,debiased,8,,
30611,average age of men at marriage,msmarco_passage_68_4698062,"Their settlement expanded successfully throughout the 1640s. By 1660, with a population of 33,000, this was the most successful New England colony. Love and Marriage. In Puritan society, the average age for marriage was higher than in any other group of immigrants—the average for men was 26, and for women age 23.",89,,easy negative,debiased,9,0.5008564352989197,
112700,crest syndrome esophageal dysfunction,msmarco_passage_18_757021196,"The most prominent one is dysphagia . Esophageal motility disorder may be a result of CREST syndrome, referring to the five main features: calcinosis, Raynaud syndrome, esophageal dysmotility, sclerodactyly and telangiectasia.",1,1.0,top from biased,biased,1,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_30_794527402,"Esophageal dysmotility is associated with CREST syndrome; it results in dysphagia and esophageal reflux. Spiderlike hemangiomas (telangiectasia) is associated with CREST syndrome. Episodic blanching of the fingers (Raynaud phenomenon), caused by vasospasms of the arterioles, is a sign associated with CREST syndrome.",2,3.0,top from biased,biased,2,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_27_631089875,"CREST Syndrome. CREST syndrome is a clinical variant of scleroderma characterized by a combination of Calcinosis cutis, Reynaud phenomenon, Esophageal dysfunction, Sclerodactyly, and Telangiectasia. Telangiectasia may occur on the lips and oral mucosa, and presents as red dots or plaques.",3,2.0,top from biased,biased,3,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_07_292095541,These bumps can be painful or get infected. Difficulty swallowing (esophageal dysfunction - the “E” in CREST syndrome): limited scleroderma patients often have challenges swallowing due to poorly functioning muscles in the esophagus.,4,7.0,top from biased,biased,4,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_45_191385723,"Telangiectasias are a sign of CREST syndrome. CREST (an acronym for calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia) syndrome, also called limited scleroderma, is a connective tissue disease that can involve many parts of the body, usually the skin of the forearms, lower legs, face, and neck, as well as the digestive tract, heart, lungs, and kidneys.",5,4.0,top from debiased,debiased,5,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_56_558076576,"CREST Syndrome is a form of scleroderma that is characterized by least two of the following symptoms: calcinosis, Raynaud's phenomenon, esophageal dysfunction, sclerodactyly, telangiectasia.",10,5.0,top from debiased,debiased,6,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_30_820452057,"The CREST syndrome consists of calcinosis cutis (usually seen under the skin of the hands or wrists), Raynaud’s phenomenon, esophageal disorders, sclerodactyly, and telangiectasia. In dermatomyositis, the most prominent calcifications are in the muscles of the upper arms and legs.",12,6.0,top from debiased,debiased,7,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_24_418296768,"CREST Syndrome – tightening of the skin is observed with small calcium deposits developed late in this disorder; the syndrome is usually composed of 5 disorders ( Calcinosis, Raynaud’s phenomenon, esophageal dysmotility, sclerodactyly and telangiectasis)",16,8.0,top from debiased,debiased,8,,
112700,crest syndrome esophageal dysfunction,msmarco_passage_02_165688744,"When esophageal dysfunction is not prominent, it is known as CRST syndrome. Miller-Keane Encyclopedia and Dictionary of Medicine, Nursing, and Allied Health, Seventh Edition. © 2003 by Saunders, an imprint of Elsevier, Inc. All rights reserved.",76,,easy negative,debiased,9,0.34179057478904723,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_03_152780110,"Greater light intensity leads to higher photosynthesis rates, as does increased carbon dioxide concentration. However, once light intensity and carbon dioxide concentration reach a certain level, photosynthesis rates level off and don't increase much further.",1,1.0,top from biased,biased,1,,
